schema_version,method,lattice,bath_budget,u_over_d,t_over_d,direction,quasiparticle_weight_slope,quasiparticle_weight_matsubara,double_occupancy,kinetic_energy_over_d,total_energy_over_d,sum_r_squared,self_energy_linear_term,iterations,convergence_diff,converged,crashed,mode_energies,mode_weights,self_energy_pole_positions,self_energy_pole_weights,wall_seconds,source_file
gdmft.reference.v1,gem-gga,bethe,1,1.2,0.001,up,0.8750825867607638,0.8750825866774814,0.16164077607676483,-0.3713882304944813,-0.1774192992023635,0.8750825866774815,-0.14274928472386317,8,6.037294109084712e-07,true,false,1.58302e-15,0.875083,,,0.16,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.3,0.001,down,0.8533947405210169,0.8533947378475681,0.15427737673453468,-0.3621837084799387,-0.1616231187250436,0.8533947378475683,-0.17179067979983031,9,3.5849448587477184e-07,true,false,1.09421e-15,0.853395,,,0.21,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.3,0.001,up,0.8533952013982384,0.8533952050927701,0.1542774472177577,-0.36218390678312284,-0.16162322540003782,0.85339520509277,-0.17179003822888017,9,3.216799849825591e-07,true,false,1.18577e-15,0.853395,,,0.18,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.4,0.001,down,0.8299722788117265,0.8299722782196043,0.14691402581758475,-0.35224299815860083,-0.14656336201398218,0.8299722782196043,-0.2048595190975857,9,6.382922312919703e-07,true,false,5.91075e-16,0.829972,,,0.2,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.4,0.001,up,0.8299731697831926,0.8299731716400945,0.1469141628623266,-0.3522433773346642,-0.14656354932740695,0.8299731716400947,-0.20485822213255211,9,5.727749614603539e-07,true,false,8.05847e-16,0.829973,,,0.18,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.5,0.001,down,0.8048151534687537,0.8048151565122282,0.13955071920139528,-0.34156607658191956,-0.13223999777982665,0.8048151565122281,-0.24252133164791645,10,4.052409660060263e-07,true,false,7.20627e-16,0.804815,,,0.23,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.5,0.001,up,0.8048157647228396,0.8048157666388223,0.13955081380927295,-0.34156633552550464,-0.13224011481159523,0.8048157666388223,-0.24252038969903866,10,3.6315489182481286e-07,true,false,8.0597e-16,0.804816,,,0.2,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.6,0.001,down,0.7779224944689758,0.7779224954316677,0.13218732170957348,-0.3301525699569117,-0.11865285522159413,0.7779224954316676,-0.2854751030757918,10,7.650293604166691e-07,true,false,4.9309e-16,0.777922,,,0.23,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.6,0.001,up,0.7779237340643641,0.7779237364259459,0.1321875152775768,-0.3301530966470836,-0.1186530722029607,0.7779237364259461,-0.2854730524027329,10,6.840132947827371e-07,true,false,6.82208e-16,0.777924,,,0.19,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
gdmft.reference.v1,gem-gga,bethe,1,1.7,0.001,down,0.7492952054680844,0.7492952043327232,0.12482397496858655,-0.31800286240449877,-0.10580210495790163,0.7492952043327232,-0.33458748196652244,11,5.769766263652443e-07,true,false,6.02824e-16,0.749295,,,0.25,results/runs/20260715_paper_scans/gem_gga/gem_B1_T0.001.csv
