Nb,U_over_D,route,Z,Z_single_point,Z_converged,Z_by_npts,docc,ekin,etot,n_imp,chi2_normalized,scipy_cost_half,chi2_common_norm,fit_rel_rms,dDelta,iters,fixed_point_converged,fit_optimizer_converged,bath_approximation_quality,Z_estimator_converged,accuracy_qualified,accepted,temperature_semantics,T_over_D,bath_fit_beta,eps,V,wall,direction,code_commit,dirty
1,0.0,cg,1.0000000000000042,1.0000000000000495,1,2:1.00000;3:1.00000;4:1.00000;6:1.00000,0.2500000000000002,-0.42411647567008187,-0.42411647567008187,1.0000000000000004,12.264180423482214,6.132090211741107,0.01979712338700554,0.6037680328394236,0.0,3,1,1,coarse,1,0,1,ground_state,0,200,0,0.0942115,0.01,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.1,cg,0.9704188751936613,0.9697228533597507,1,2:0.97078;3:0.96968;4:0.96980;6:0.97042,0.2171062833442967,-0.4222600739091567,-0.40054944557472705,0.9999999999999996,12.187430104704191,6.0937150523520955,0.01969934370165118,0.6028543062159235,0.0,5,1,1,coarse,1,0,1,ground_state,0,200,0,0.094177,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.2,cg,0.8911024816718103,0.8887446576191627,1,2:0.89234;3:0.88860;4:0.88902;6:0.89110,0.18578676147472362,-0.4167646054169234,-0.3796072531219787,1.0000000000000002,11.952909418172139,5.976454709086069,0.019401070187780648,0.6000263119792012,0.0,7,1,1,coarse,1,0,1,ground_state,0,200,0,0.0940665,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.3,cg,0.7836947171625,0.7795585496625268,1,2:0.78585;3:0.77930;4:0.78004;6:0.78369,0.15726324407624007,-0.40784622940384546,-0.36066725618097345,1.0000000000000004,11.570166476214979,5.7850832381074895,0.01891525253057115,0.5952906121735543,0.0,12,1,1,coarse,1,0,1,ground_state,0,200,0,0.0938801,0.03,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.4,cg,0.669847755421316,0.6644235868273689,1,2:0.67266;3:0.66409;4:0.66506;6:0.66985,0.13226576039125915,-0.39586053147504396,-0.3429542273185403,0.9999999999999997,11.096929277344998,5.548464638672499,0.018314144725609972,0.5892177986963241,0.0,5,1,1,coarse,1,0,1,ground_state,0,200,0,0.0936608,0.01,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,0.5,cg,0.5631090868747102,0.5570108522623314,1,2:0.56623;3:0.55664;4:0.55773;6:0.56311,0.11086061801420416,-0.38123245614399437,-0.32580214713689226,1.0,10.443412204702128,5.221706102351064,0.017490492933721645,0.5804033031665584,0.0,8,1,1,coarse,1,0,1,ground_state,0,200,0,0.0932978,0.02,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,1.0,cg,0.23536040218765747,0.23056481991922126,0,2:0.23761;3:0.23030;4:0.23115;6:0.23536,0.047950671362198834,-0.2884472424733384,-0.2404965711111396,0.9999999999999997,6.8690418222637,3.43452091113185,0.012989630709922479,0.5207542200554933,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,0.0910842,0.01,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,1.5,cg,0.11237524747126068,0.10934527398878754,0,2:0.11356;3:0.10920;4:0.10974;6:0.11238,0.023426246178113657,-0.20384610341136644,-0.16870673414419596,0.9999999999999998,3.6785928936314947,1.8392964468157473,0.008918653981741808,0.4395043227485251,0.0,4,1,1,coarse,0,0,1,ground_state,0,200,0,0.0874396,0.01,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.0,cg,0.05523816730514778,0.05303042762437479,0,2:0.05573;3:0.05297;4:0.05337;6:0.05524,0.011538640397265952,-0.14442635607507154,-0.12134907528053963,0.9999999999999996,1.341922685729706,0.670961342864853,0.005774799896694895,0.3378545159200142,9.97020643822566e-09,46,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0787072,0.2,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
1,2.4,cg,0.03208903170992946,0.030263843813890946,0,2:0.03224;3:0.03024;4:0.03058;6:0.03209,0.006624206453458968,-0.11332584571645118,-0.09742775022814966,0.9999999999999996,0.7155418524728988,0.3577709262364494,0.004552276414334542,0.31135607167780577,0.0,15,1,1,coarse,0,0,1,ground_state,0,200,0,-0.0704693,0.06,up,1a3af4af02029a84cf998109cb60dc96217863c8,dirty
