M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,rel_Nk64,scaleaware_Nk64,gate_tol,Nk64_passes,note
1,R_native,insulator,3.0,0.01,D_occ,2.632817186917212e-12,-0.0015047131608281067,-7.923269342417525e-14,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,3.0,0.01,n,1.0,0.0,0.0,0.001,1,
1,R_native,insulator,3.0,0.01,Omega_over_D,-1.5112848275429265,8.072026584795083e-08,-8.072026584795083e-08,0.001,1,
1,R_native,insulator,3.0,0.01,E_kin_over_D,-0.00870522688947415,2.801262751957435e-05,-4.877125566564444e-06,0.001,1,near-Z=0: use scale-aware
1,R_native,insulator,3.0,0.01,E_pot_over_D,7.898451560751636e-12,-0.0015047131608281578,-2.3769808027253383e-13,0.001,0,near-Z=0: use scale-aware
1,R_native,insulator,3.0,0.01,E_tot_over_D,-0.0087052268815757,2.801262891021552e-05,-4.877125804256255e-06,0.001,1,near-Z=0: use scale-aware
1,R_native,metal,2.0,0.001,Z_pole,0.5968492232427128,-0.0005392148728639454,-0.0005392148728639454,0.001,1,
1,R_native,metal,2.0,0.001,Z_mats,0.596849223242712,-0.0005392148728645043,-0.0005392148728645043,0.001,1,
1,R_native,metal,2.0,0.001,D_occ,0.09379980391696575,-0.0006617818771505529,-0.0006617818771505529,0.001,1,
1,R_native,metal,2.0,0.001,n,0.9999999999999996,-2.220446049250314e-16,-2.220446049250314e-16,0.001,1,
1,R_native,metal,2.0,0.001,Omega_over_D,-1.0614410531183225,-5.7378920957263676e-05,5.7378920957263676e-05,0.001,1,
1,R_native,metal,2.0,0.001,E_kin_over_D,-0.25095121101405066,-0.0008281317200562671,0.0008281317200562671,0.001,1,
1,R_native,metal,2.0,0.001,E_pot_over_D,0.1875996078339315,-0.0006617818771505529,-0.0006617818771505529,0.001,1,
1,R_native,metal,2.0,0.001,E_tot_over_D,-0.06335160318011915,-0.0013207343334995438,0.0013207343334995438,0.001,0,
1,R_native,metal,2.0,0.01,Z_pole,0.5951211897581942,-1.6944267211310464e-05,-1.6944267211310464e-05,0.001,1,
1,R_native,metal,2.0,0.01,Z_mats,0.5951211897581934,-1.6944267211310488e-05,-1.6944267211310488e-05,0.001,1,
1,R_native,metal,2.0,0.01,D_occ,0.09344424385670673,-2.165166591696768e-05,-2.165166591696768e-05,0.001,1,
1,R_native,metal,2.0,0.01,n,1.0000000000000002,-5.551115123125782e-16,-5.551115123125782e-16,0.001,1,
1,R_native,metal,2.0,0.01,Omega_over_D,-1.0620874921995487,-4.3557352975195955e-07,4.3557352975195955e-07,0.001,1,
1,R_native,metal,2.0,0.01,E_kin_over_D,-0.24970119949490563,-2.7937626734403318e-05,2.7937626734403318e-05,0.001,1,
1,R_native,metal,2.0,0.01,E_pot_over_D,0.18688848771341346,-2.165166591696768e-05,-2.165166591696768e-05,0.001,1,
1,R_native,metal,2.0,0.01,E_tot_over_D,-0.06281271178149217,-4.6640428725870066e-05,4.6640428725870066e-05,0.001,1,
1,R_native,metal,2.5,0.001,Z_pole,0.3786786946267426,-0.0010821770748399488,-0.0010821770748399488,0.001,0,
1,R_native,metal,2.5,0.001,Z_mats,0.37867869462674175,-0.0010821770748402444,-0.0010821770748402444,0.001,0,
1,R_native,metal,2.5,0.001,D_occ,0.05496235812212887,-0.00122095147565332,-0.00122095147565332,0.001,0,
1,R_native,metal,2.5,0.001,n,0.9999999999999999,1.1102230246251568e-16,1.1102230246251568e-16,0.001,1,
1,R_native,metal,2.5,0.001,Omega_over_D,-1.274087893009721,-2.423407124585457e-05,2.423407124585457e-05,0.001,1,
1,R_native,metal,2.5,0.001,E_kin_over_D,-0.1643054621976123,-0.0013237577318789388,0.0013237577318789388,0.001,0,
1,R_native,metal,2.5,0.001,E_pot_over_D,0.13740589530532218,-0.0012209514756533198,-0.0012209514756533198,0.001,0,
1,R_native,metal,2.5,0.001,E_tot_over_D,-0.026899566892290117,-0.0018489032011808377,0.0009946939067506655,0.001,0,near-Z=0: use scale-aware
1,R_native,metal,2.5,0.01,Z_pole,0.3724419269582257,1.292406723546835e-06,1.292406723546835e-06,0.001,1,
1,R_native,metal,2.5,0.01,Z_mats,0.3724419269582248,1.2924067233977917e-06,1.2924067233977917e-06,0.001,1,
1,R_native,metal,2.5,0.01,D_occ,0.05394313259810748,-8.648660725496262e-08,-8.648660725496262e-08,0.001,1,
1,R_native,metal,2.5,0.01,n,1.0000000000000007,-6.661338147750935e-16,-6.661338147750935e-16,0.001,1,
1,R_native,metal,2.5,0.01,Omega_over_D,-1.2750390430831224,-1.1702405339214668e-07,1.1702405339214668e-07,0.001,1,
1,R_native,metal,2.5,0.01,E_kin_over_D,-0.16100731778898575,-2.0800032058699046e-06,2.0800032058699046e-06,0.001,1,
1,R_native,metal,2.5,0.01,E_pot_over_D,0.1348578314952687,-8.648660722923592e-08,-8.648660722923592e-08,0.001,1,
1,R_native,metal,2.5,0.01,E_tot_over_D,-0.02614948629371705,-1.236094419732254e-05,6.464646817305741e-06,0.001,1,near-Z=0: use scale-aware
1,R_native,metal,3.0,0.001,Z_pole,0.11972610943721967,-0.0017940743818971512,-0.0017940743818971512,0.001,0,
1,R_native,metal,3.0,0.001,Z_mats,0.11972610943721926,-0.0017940743818966938,-0.0017940743818966938,0.001,0,
1,R_native,metal,3.0,0.001,D_occ,0.01621814643579969,-0.0018452859741334663,-0.0005985423628884767,0.001,0,near-Z=0: use scale-aware
1,R_native,metal,3.0,0.001,n,1.0,-8.881784197001252e-16,-8.881784197001252e-16,0.001,1,
1,R_native,metal,3.0,0.001,Omega_over_D,-1.506056550098723,-1.0028251732758122e-06,1.0028251732758122e-06,0.001,1,
1,R_native,metal,3.0,0.001,E_kin_over_D,-0.05842758171730113,-0.0016200106248968951,0.0016200106248968951,0.001,0,
1,R_native,metal,3.0,0.001,E_pot_over_D,0.04865443930739907,-0.0018452859741334663,-0.0017956270886654302,0.001,0,near-Z=0: use scale-aware
1,R_native,metal,3.0,0.001,E_tot_over_D,-0.009773142409902055,-0.0004985038108982918,9.74389747157578e-05,0.001,1,near-Z=0: use scale-aware
1,R_native,metal,3.0,0.01,Z_pole,0.14827757862853486,1.9160231055686088e-06,1.9160231055686088e-06,0.001,1,
1,R_native,metal,3.0,0.01,Z_mats,0.1482775786285344,1.916023105381428e-06,1.916023105381428e-06,0.001,1,
1,R_native,metal,3.0,0.01,D_occ,0.020569850450187964,1.8482752843298834e-06,7.603749237888868e-07,0.001,1,near-Z=0: use scale-aware
1,R_native,metal,3.0,0.01,n,1.0,2.220446049250313e-16,2.220446049250313e-16,0.001,1,
1,R_native,metal,3.0,0.01,Omega_over_D,-1.5082157762618422,-1.112649665970109e-08,1.112649665970109e-08,0.001,1,
1,R_native,metal,3.0,0.01,E_kin_over_D,-0.06870758124224234,1.547843253936941e-06,-1.547843253936941e-06,0.001,1,
1,R_native,metal,3.0,0.01,E_pot_over_D,0.06170955135056389,1.8482752843861056e-06,1.8482752843861056e-06,0.001,1,
1,R_native,metal,3.0,0.01,E_tot_over_D,-0.006998029891678449,-1.1014060486993304e-06,1.5415344903346728e-07,0.001,1,near-Z=0: use scale-aware
