lattice,M_g,M_h,gauge,solver_route,quadrature,integration_nodes,Nk,n_eps,branch,U_over_D,T_over_D,U_raw,T_raw,Z_pole,Z_mats,D_occ,n,Omega,Omega_over_D,E_kin,E_kin_over_D,E_pot,E_pot_over_D,E_tot_over_D,resnorm,converged,dist_to_spinodal_UD,norm_error,roundtrip_error,floor_limited,equation_accepted,physical,gated,branch_continuous,selected
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,noninteracting,0.0,0.01,0.0,0.02,1.0,1.0,0.25,1.0,nan,nan,-0.8102442621716828,-0.4051221310858414,0.0,0.0,-0.4051221310858414,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,noninteracting,0.0,0.01,0.0,0.02,1.0,1.0,0.25,1.0,nan,nan,-0.8105696150591406,-0.4052848075295703,0.0,0.0,-0.4052848075295703,0.0,1,3.2,,,,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,1.0,0.01,2.0,0.02,0.730798179840694,0.7307981798406933,0.15927918831115176,0.9999999999999988,-1.4003188555192487,-0.7001594277596244,-0.7155030951234753,-0.35775154756173766,0.3185583766223035,0.15927918831115176,-0.1984723592505859,1.0426603819721804e-05,1,2.2,0.0,5.773159728050814e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,1.0,0.01,2.0,0.02,0.7377613940611927,0.7377613940611918,0.16005518251131523,0.9999999999999766,-1.401746403080871,-0.7008732015404355,-0.7196680701491209,-0.35983403507456047,0.32011036502263046,0.16005518251131523,-0.19977885256324523,1.014719194374573e-05,1,2.2,0.0,5.10702591327572e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,1.0,0.01,2.0,0.02,0.7388647361427243,0.7388647361427235,0.1601791344638809,0.9999999999999813,-1.4018820740301976,-0.7009410370150988,-0.7203361394792186,-0.3601680697396093,0.3203582689277618,0.1601791344638809,-0.1999889352757284,1.0055849363980136e-05,1,2.2,0.0,4.884981308350689e-15,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,1.0,0.01,2.0,0.02,0.7389155273167108,0.7389155273167101,0.1601849755816764,0.9999999999999806,-1.40188565044118,-0.70094282522059,-0.7203679184782976,-0.3601839592391488,0.3203699511633528,0.1601849755816764,-0.1999989836574724,1.0058129945815809e-05,1,2.2,0.0,5.329070518200751e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,2.0,0.01,4.0,0.02,0.27994460993687575,0.2799446099368749,0.07541563512361761,1.0000000000000036,-2.1666752490329237,-1.0833376245164619,-0.46397467964938754,-0.23198733982469377,0.30166254049447044,0.15083127024723522,-0.08115606957745855,2.4562518890005527e-05,1,1.2,0.0,5.10702591327572e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,1024,32,,metal,2.0,0.01,4.0,0.02,0.2824599449352076,0.2824599449352066,0.0757369911483525,0.9999999999999987,-2.1667785466285423,-1.0833892733142712,-0.4656920926579467,-0.23284604632897335,0.30294796459341,0.151473982296705,-0.08137206403226835,2.404787059335241e-05,1,1.2,2.220446049250313e-16,4.218847493575595e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,4096,64,,metal,2.0,0.01,4.0,0.02,0.2825117033010048,0.28251170330100395,0.07574372579352878,0.9999999999999997,-2.1667798085138124,-1.0833899042569062,-0.46572839954236833,-0.23286419977118417,0.30297490317411513,0.15148745158705756,-0.0813767481841266,2.4051681464974654e-05,1,1.2,2.220446049250313e-16,3.3306690738754696e-15,0,,,,,
square,3,2,bare_native,bare_native,continuum_elliptic_dos,4001,,4001,metal,2.0,0.01,4.0,0.02,0.28251191006243864,0.28251191006243787,0.07574376389323328,0.9999999999999993,-2.166779864589124,-1.083389932294562,-0.4657286277364837,-0.23286431386824186,0.30297505557293314,0.15148752778646657,-0.08137678608177529,2.405241046319785e-05,1,1.2,0.0,3.774758283725532e-15,0,,,,,
square,3,2,bare_native,bare_native,uniform_kmesh,256,16,,metal,2.5,0.01,5.0,0.02,0.007641954798323842,0.00764195479832381,0.02138811020568657,1.0000000000000009,-2.6155819173508874,-1.3077909586754437,-0.20898810671940524,-0.10449405335970262,0.10694055102843285,0.053470275514216424,-0.051023777845486194,3.4119108062898626e-05,1,0.7,2.220446049250313e-16,8.659739592076221e-15,0,,,,,
