M_g,gauge,branch,U_over_D,T_over_D,observable,value_continuum,continuum_nodes,value_Nk16,abs_Nk16,rel_Nk16,scaleaware_Nk16,value_Nk32,abs_Nk32,rel_Nk32,scaleaware_Nk32,value_Nk64,abs_Nk64,rel_Nk64,scaleaware_Nk64
1,R_native,insulator,2.0,0.001,Z_pole,9.796404898399666e-08,4001,1.0050297749588742e-07,2.5389285118907668e-09,0.025916941349632502,5.0778570237815336e-08,1.0490141921783291e-07,6.937370233836253e-09,0.07081547063218607,1.3874740467672506e-07,1.1991805526354804e-07,2.1954006279551387e-08,0.2241026836603883,4.3908012559102774e-07
1,R_native,insulator,2.0,0.001,Z_mats,9.79640489839963e-08,4001,1.0050297749588707e-07,2.5389285118907668e-09,0.025916941349632596,5.0778570237815336e-08,1.0490141921783243e-07,6.937370233836134e-09,0.07081547063218512,1.3874740467672268e-07,1.1991805526354746e-07,2.1954006279551162e-08,0.22410268366038683,4.3908012559102324e-07
1,R_native,insulator,2.0,0.001,D_occ,3.80674537535733e-13,4001,3.796862046054582e-13,-9.88332930274763e-16,-0.0025962675010329276,-1.9766658605495258e-14,3.8027679889654605e-13,-3.977386391869245e-16,-0.0010448259601539274,-7.95477278373849e-15,3.801331036281457e-13,-5.414339075872522e-16,-0.0014223013472142963,-1.0828678151745045e-14
1,R_native,insulator,2.0,0.001,n,0.9999999999999999,4001,1.0,1.1102230246251565e-16,1.1102230246251568e-16,1.1102230246251568e-16,1.0000000000000002,3.3306690738754696e-16,3.33066907387547e-16,3.33066907387547e-16,1.0,1.1102230246251565e-16,1.1102230246251568e-16,1.1102230246251568e-16
1,R_native,insulator,2.0,0.001,Omega_over_D,-1.0050701226926329,4001,-1.0050701718203179,-4.912768503118059e-08,4.8879858153145654e-08,-4.8879858153145654e-08,-1.0050701083264109,1.4366221989803307e-08,-1.4293750918906517e-08,1.4293750918906517e-08,-1.0050706126070423,-4.899144094849817e-07,4.874430136003611e-07,-4.874430136003611e-07
1,R_native,insulator,2.0,0.001,E_kin_over_D,-0.008752442161707683,4001,-0.008752540364771931,-9.820306424816738e-08,1.1220075772429561e-05,-1.9640612849633476e-06,-0.00875241344263408,2.8719073603619694e-08,-3.281264025858622e-06,5.743814720723939e-07,-0.008753421482295312,-9.793205876292704e-07,0.00011189112358992108,-1.958641175258541e-05
1,R_native,insulator,2.0,0.001,E_pot_over_D,7.61349075071466e-13,4001,7.593724092109164e-13,-1.976665860549526e-15,-0.0025962675010329276,-3.9533317210990516e-14,7.605535977930921e-13,-7.95477278373849e-16,-0.0010448259601539274,-1.590954556747698e-14,7.602662072562915e-13,-1.0828678151745045e-15,-0.0014223013472142963,-2.165735630349009e-14
1,R_native,insulator,2.0,0.001,E_tot_over_D,-0.008752442160946334,4001,-0.00875254036401256,-9.820306622575214e-08,1.1220075999352186e-05,-1.964061324515043e-06,-0.008752413441873526,2.8719072807381618e-08,-3.2812639351708037e-06,5.743814561476324e-07,-0.008753421481535045,-9.793205887117379e-07,0.00011189112372333022,-1.9586411774234758e-05
1,R_native,insulator,2.0,0.01,Z_pole,1.0341394984791036e-07,4001,1.0082383683497828e-07,-2.590113012932074e-09,-0.025046069865248564,-5.180226025864148e-08,9.878994078337541e-08,-4.624009064534946e-09,-0.04471359107098626,-9.248018129069891e-08,1.0575774700427803e-07,2.343797156367671e-09,0.022664226246214027,4.687594312735342e-08
1,R_native,insulator,2.0,0.01,Z_mats,1.0341394984790999e-07,4001,1.0082383683497793e-07,-2.5901130129320606e-09,-0.025046069865248526,-5.180226025864121e-08,9.878994078337509e-08,-4.624009064534893e-09,-0.04471359107098591,-9.248018129069786e-08,1.0575774700427772e-07,2.3437971563677373e-09,0.02266422624621475,4.6875943127354746e-08
