# M_h=4 control at M_g=3 (two Sigma pairs; same 14 matching rows as M_h=2).
# Second pair frozen at seed (flat direction) - see paper-story 2.4(d) test 6.
# Columns: U | v1 | e1 | W1 | eta1 | W2 | eta2 | 2(W1^2+W2^2) | law | resnorm
U | v1 | e1 | W1 | eta1 | W2 | eta2 | 2(W1^2+W2^2) | law | |F|
 1.800 |   9.385 |   42.22 | 0.5539 | 0.00000 | 0.3000 | 2.0000 | 0.79354 | +0.56000 | 1.424e-06
 1.750 |   9.822 |   42.69 | 0.5334 | 0.00000 | 0.3000 | 2.0000 | 0.74908 | +0.51562 | 1.543e-06
 1.700 |  10.209 |   42.79 | 0.5127 | 0.00000 | 0.3000 | 2.0000 | 0.70579 | +0.47250 | 2.122e-06
 1.650 |  11.350 |   45.82 | 0.4916 | 0.00000 | 0.3000 | 2.0000 | 0.66338 | +0.43062 | 1.426e-06
 1.600 |  11.520 |   44.64 | 0.4702 | 0.00000 | 0.3000 | 2.0000 | 0.62211 | +0.39000 | 1.580e-06
 1.550 |  11.860 |   44.01 | 0.4484 | 0.00000 | 0.3000 | 2.0000 | 0.58208 | +0.35063 | 1.716e-06
 1.500 |  12.288 |   43.55 | 0.4261 | 0.00000 | 0.3000 | 2.0000 | 0.54320 | +0.31250 | 1.893e-06
 1.450 |  13.434 |   45.35 | 0.4034 | 0.00000 | 0.3000 | 2.0000 | 0.50548 | +0.27563 | 1.883e-06
 1.400 |  14.250 |   45.60 | 0.3799 | 0.00000 | 0.3000 | 2.0000 | 0.46867 | +0.24000 | 2.006e-06
 1.350 |  14.726 |   44.41 | 0.3554 | 0.00000 | 0.3000 | 2.0000 | 0.43257 | +0.20563 | 2.231e-06
 1.300 |  15.445 |   43.61 | 0.3296 | 0.00000 | 0.3000 | 2.0000 | 0.39730 | +0.17250 | 2.506e-06
 1.275 |  15.785 |   42.98 | 0.3162 | 0.00000 | 0.3000 | 2.0000 | 0.37993 | +0.15641 | 2.717e-06
 1.250 |  15.923 |   41.67 | 0.3020 | 0.00000 | 0.3000 | 2.0000 | 0.36241 | +0.14062 | 2.973e-06
 1.225 |  16.427 |   41.17 | 0.2872 | 0.00000 | 0.3000 | 2.0000 | 0.34495 | +0.12516 | 3.187e-06
 1.200 |  16.806 |   40.14 | 0.2714 | 0.00000 | 0.3000 | 2.0000 | 0.32729 | +0.11000 | 3.518e-06
 1.175 |  17.015 |   38.44 | 0.2541 | 0.00000 | 0.3000 | 2.0000 | 0.30910 | +0.09516 | 4.032e-06
 1.150 |  17.395 |   36.76 | 0.2345 | 0.00000 | 0.3000 | 2.0000 | 0.29000 | +0.08062 | 4.887e-06
 1.125 |  17.629 |   33.85 | 0.2087 | 0.00000 | 0.3000 | 2.0000 | 0.26712 | +0.06641 | 5.830e-06
 1.100 |  19.100 |   31.35 | 0.1714 | 0.00000 | 0.3000 | 2.0000 | 0.23876 | +0.05250 | 3.699e-05
 1.075 |  19.253 |   31.42 | 0.1702 | 0.00000 | 0.3000 | 2.0000 | 0.23793 | +0.03891 | 1.378e-04
 1.050 |  24.000 |   39.35 | 0.1709 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | +0.02563 | 1.890e-04
 1.025 |  24.000 |   39.35 | 0.1709 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | +0.01266 | 2.706e-04
 1.000 |  24.000 |   39.35 | 0.1709 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | +0.00000 | 3.521e-04
 0.975 |  24.000 |   39.35 | 0.1708 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | -0.01234 | 4.336e-04
 0.950 |  24.000 |   39.35 | 0.1708 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | -0.02438 | 5.152e-04
 0.925 |  24.000 |   39.35 | 0.1708 | 0.00000 | 0.3000 | 2.0000 | 0.23838 | -0.03609 | 5.967e-04
 0.900 |  24.000 |   39.53 | 0.1718 | 0.00000 | 0.3000 | 2.0000 | 0.23904 | -0.04750 | 6.780e-04
 0.875 |  24.000 |   39.53 | 0.1718 | 0.00000 | 0.3000 | 2.0000 | 0.23904 | -0.05859 | 7.595e-04
 0.850 |  24.000 |   40.63 | 0.1779 | 0.00000 | 0.3000 | 2.0000 | 0.24331 | -0.06938 | 8.403e-04
DONE
